property_id,title,price,bedrooms,bathrooms,area_m2,property_type,status,updated_at,created_at
XMj4Vp567BSboEcgeLMd,"Duplex em Curitiba, no bairro Água Verde - Referência: 203 - Plural",899000.0,2,3,86.89,apartment,active,2025-10-01T21:52:24.660254+00:00,2025-10-01T21:52:24.595704+00:00
XLAK46lPnRbk0Ijn2ZQk,"Studio em Curitiba, no bairro Novo Mundo - Referência: 203 - New England",259000.0,1,1,22.4,apartment,active,2025-10-01T21:52:24.531338+00:00,2025-10-01T21:52:24.410386+00:00
XC12wYpJQ1pAdTcpEOaJ,"Sala em Curitiba, no bairro Centro - Referência: 421 - MD.7",345160.0,,1,27.94,commercial,active,2025-10-01T21:52:24.337986+00:00,2025-10-01T21:52:24.249402+00:00
XBk3VrpUeUG85MToOPQb,"Apartamento em Curitiba, no bairro Água Verde - Referência: 22 - Opulus",1082271.46,2,3,78.32,apartment,active,2025-10-01T21:52:24.18494+00:00,2025-10-01T21:52:24.096288+00:00
WzqIwUezJZ8enjaiUKmQ,"Terreno à venda, 500 m² por R$ 700.000,00 - Bairro Alto - Curitiba/PR",700000.0,,,,land,active,2025-10-01T21:52:24.032013+00:00,2025-10-01T21:52:23.926912+00:00
WxWbP2gFA4MlONvSCzl1,"Apartamento em Curitiba, no bairro Portão - Referência: 1004 - Kóra",1201888.09,2,3,86.7,apartment,active,2025-10-01T21:52:23.870521+00:00,2025-10-01T21:52:23.781758+00:00
Wrmx9oGJeLwH7WhrBC2C,"Apartamento em Curitiba, no bairro Ahú - Referência: 204T1 - Paseo Folloni",2255800.0,3,4,148.45,apartment,active,2025-10-01T21:52:23.709343+00:00,2025-10-01T21:52:23.628758+00:00
WnxjzJoTRf2gQwtedZ1x,"Cobertura Duplex em Curitiba, no bairro Juvevê - Referência: 703 - Galeria Hype Casa Nativa",1854900.0,3,4,105.9,house,active,2025-10-01T21:52:23.556077+00:00,2025-10-01T21:52:23.443034+00:00
WlkiwGhjaHFss3aeDR7T,"Cobertura Duplex em Curitiba, no bairro Portão - Referência: 151 - Saint Maartan",1373640.0,3,3,133.42,penthouse,active,2025-10-01T21:52:23.362851+00:00,2025-10-01T21:52:23.257289+00:00
WkBmmM3qCIN0wsBzDysO,"Studio em Curitiba, no bairro Água Verde - Referência: 1504 - Lunetto",487700.0,1,1,39.61,apartment,active,2025-10-01T21:52:23.176523+00:00,2025-10-01T21:52:23.047105+00:00
